證券代號,證券名稱,成交數量,成交筆數,成交金額,成交價,最後揭示買量,最後揭示賣量
087157,華孚元大3A購01,0,0,0,0.61,0,0
087158,樺漢元大3A購03,0,0,0,2.07,0,0
087159,樺漢元大41購01,0,0,0,2.47,0,0
087160,矽力元大3A購04,0,0,0,2.27,0,0
087162,至上元大3A購01,0,0,0,2.75,0,0
087163,至上元大3A購02,0,0,0,2.7,0,0
087164,至上元大3A購03,0,0,0,2.4,0,0
087166,寶成元大3A購01,0,0,0,1.13,0,0
087167,電子類元大3B購01,0,0,0,1.62,0,0
087170,華榮凱基3A購03,0,0,0,1.77,0,0
087171,美時凱基3B購02,0,0,0,1.05,0,0
087173,上銀凱基41購01,0,0,0,0.65,0,0
087174,光寶科凱基3A購06,0,0,0,0.7,0,0
087175,台達電凱基41購02,0,0,0,0.88,0,0
087176,華通凱基3A購06,0,0,0,1.02,0,0
087178,鴻海凱基41購05,0,0,0,1.37,0,0
087179,鴻海凱基44購02,0,0,0,1.31,0,0
087180,鴻海凱基47購01,0,0,0,1.56,0,0
087181,鴻海凱基4C購01,0,0,0,1.84,0,0
087182,國巨凱基3C購03,0,0,0,1.09,0,0
087183,台光電凱基3A購06,0,0,0,1.09,0,0
087185,美律凱基3A購01,0,0,0,1.03,0,0
087186,聯發科凱基4C購03,0,0,0,1.07,0,0
087190,長榮凱基3C購05,0,0,0,1.08,0,0
087191,長榮凱基3C購06,0,0,0,0.9,0,0
087192,長榮凱基43購01,0,0,0,1.42,0,0
087193,長榮凱基43購02,0,0,0,1.3,0,0
087195,漢翔凱基3C購02,0,0,0,1.19,0,0
087196,建漢凱基3C購02,0,0,0,0.62,0,0
087200,材料凱基3B購04,0,0,0,0.99,0,0
087201,和碩凱基43購01,0,0,0,0.74,0,0
087204,亞翔凱基3B購03,0,0,0,2.74,0,0
087206,樺漢凱基3C購01,0,0,0,0.75,0,0
087207,迅得凱基3A購01,0,0,0,1.14,0,0
087209,帝寶凱基3B購01,0,0,0,0.93,0,0
087210,帝寶凱基41購01,0,0,0,0.98,0,0
087211,矽創凱基3C購01,0,0,0,0.64,0,0
087213,世紀鋼凱基3B購02,0,0,0,0.69,0,0
087214,臺股指凱基3C購15,0,0,0,1.61,0,0
087215,臺股指凱基3C購16,0,0,0,1.67,0,0
087216,臺股指凱基3C購17,0,0,0,1.44,0,0
087217,臺股指凱基3C購18,0,0,0,2.29,0,0
087218,鴻海中信3A購04,0,0,0,0.92,0,0
087219,鴻海中信3C購03,0,0,0,0.54,0,0
087221,佳必琪中信3C購01,0,0,0,1.14,0,0
087222,堤維西國泰3C購01,0,0,0,1.96,0,0
087223,台達電國泰3C購01,0,0,0,1.19,0,0
087224,鉅祥國泰3C購01,0,0,0,2.38,0,0
087225,長榮國泰3C購01,0,0,0,1.02,0,0
087226,奇鋐國泰3C購02,0,0,0,1.65,0,0
087227,聯詠國泰3C購01,0,0,0,1.43,0,0
087232,技嘉兆豐3B購01,0,0,0,1.44,0,0
087233,台光電兆豐3B購01,0,0,0,1.34,0,0
087234,群光兆豐3C購01,0,0,0,0.8,0,0
087235,毅嘉兆豐3C購01,0,0,0,0.98,0,0
087239,聯陽兆豐3B購01,0,0,0,0.68,0,0
087240,奇鋐兆豐3A購03,0,0,0,1.01,0,0
087241,玉晶光兆豐3A購02,0,0,0,0.9,0,0
087242,嘉澤兆豐3B購01,0,0,0,1.65,0,0
087245,全訊兆豐3C購01,0,0,0,0.96,0,0
087249,遠東新永豐3A購01,0,0,0,1.05,0,0
087250,正新永豐3B購01,0,0,0,0.74,0,0
087251,光寶科永豐41購01,0,0,0,0.9,0,0
087252,台達電永豐41購01,0,0,0,0.84,0,0
087253,鴻海永豐3A購03,0,0,0,0.75,0,0
087254,鴻海永豐3B購03,0,0,0,0.96,0,0
087256,大同永豐44購01,0,0,0,0.82,0,0
087258,長榮太永豐3C購01,0,0,0,0.9,0,0
087259,長榮太永豐3C購02,0,0,0,1.4,0,0
087260,晶華永豐41購01,0,0,0,1.1,0,0
087263,華晶科永豐3C購01,0,0,0,2.28,0,0
087264,緯創永豐42購02,0,0,0,1.15,0,0
087267,聯茂永豐41購01,0,0,0,1.19,0,0
087268,緯穎永豐3B購02,0,0,0,1.18,0,0
087270,台虹永豐41購01,0,0,0,1.57,0,0
087273,美時富邦43購01,0,0,0,1.29,0,0
087274,潤隆富邦3C購01,0,0,0,0.55,0,0
087275,光寶科富邦3A購03,0,0,0,0.75,0,0
087276,光寶科富邦3C購02,0,0,0,0.99,0,0
087277,金像電富邦43購02,0,0,0,1.05,0,0
087278,群光富邦43購01,0,0,0,1,0,0
087279,可成富邦43購01,0,0,0,0.94,0,0
087280,一詮富邦43購01,0,0,0,1.69,0,0
087281,佳必琪富邦43購01,0,0,0,1.75,0,0
087282,聯茂富邦3C購01,0,0,0,1.56,0,0
087284,晶心科富邦3C購01,0,0,0,0.81,0,0
087285,矽創富邦42購01,0,0,0,0.59,0,0
087287,元債2X凱基43購03,0,0,0,0.74,0,0
087289,華電凱基3B購01,0,0,0,1.12,0,0
087290,華新凱基3A購03,0,0,0,1.06,0,0
087291,華榮凱基3A購04,0,0,0,1.8,0,0
087292,大亞凱基3A購03,0,0,0,0.99,0,0
087293,大亞凱基3B購03,0,0,0,1.08,0,0
087294,中鴻凱基3C購01,0,0,0,1.32,0,0
087295,大成鋼凱基3B購02,0,0,0,1.32,0,0
087297,楠梓電凱基3A購01,0,0,0,0.94,0,0
087299,國巨凱基3A購06,0,0,0,1.09,0,0
087301,群光凱基41購01,0,0,0,0.85,0,0
087304,聯發科凱基52購03,0,0,0,1.26,0,0
087307,怡利電凱基3A購01,0,0,0,0.99,0,0
087308,長榮凱基43購03,0,0,0,0.71,0,0
087309,亞航凱基3C購01,0,0,0,0.92,0,0
087310,漢翔凱基3C購03,0,0,0,1.14,0,0
087311,旺旺保凱基3A購01,0,0,0,0.75,0,0
087312,亞光凱基3B購01,0,0,0,0.91,0,0
087313,亞光凱基3C購01,0,0,0,0.89,0,0
087317,辛耘凱基3B購03,0,0,0,1.63,0,0
087320,上海銀凱基3C購01,0,0,0,1.02,0,0
087325,聯茂凱基3A購01,0,0,0,1.62,0,0
087326,聯茂凱基3C購01,0,0,0,1.19,0,0
087328,樺漢凱基3B購01,0,0,0,1.03,0,0
087333,嘉基凱基3A購01,0,0,0,0.92,0,0
087334,來頡凱基43購01,0,0,0,0.88,0,0
087337,寶成凱基3A購01,0,0,0,0.94,0,0
087338,大亞統一46購01,0,0,0,0.82,0,0
087343,一詮統一44購01,0,0,0,1.2,10,0
087344,陽明統一44購01,0,0,0,0.67,0,0
087345,萬海統一44購01,0,0,0,0.6,0,0
087346,緯創統一47購01,0,0,0,0.69,0,0
087347,佳必琪統一47購01,0,0,0,0.82,0,0
087348,佳必琪統一47購02,0,0,0,0.85,0,0
087349,力成統一44購01,0,0,0,0.49,0,0
